,domain_desc,reference_period_desc,util_practice_desc,class_desc,asd_desc,week_ending,country_code,unit_desc,CV (%),domaincat_desc,region_desc,zip_5,asd_code,begin_code,group_desc,county_ansi,state_name,country_name,county_name,commodity_desc,load_time,source_desc,watershed_desc,statisticcat_desc,freq_desc,end_code,county_code,state_fips_code,short_desc,year,state_alpha,congr_district_code,sector_desc,prodn_practice_desc,Value,agg_level_desc,watershed_code,location_desc,state_ansi
21,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,3.0,NOT SPECIFIED,,,,00,FIELD CROPS,,COLORADO,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,08,"CORN, GRAIN - ACRES HARVESTED",2012,CO,,CROPS,ALL PRODUCTION PRACTICES,"1,011,151",STATE,00000000,COLORADO,08
22,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,COLORADO,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,08,"CORN, GRAIN - ACRES HARVESTED",2007,CO,,CROPS,ALL PRODUCTION PRACTICES,"1,054,844",STATE,00000000,COLORADO,08
23,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,COLORADO,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,08,"CORN, GRAIN - ACRES HARVESTED",2002,CO,,CROPS,ALL PRODUCTION PRACTICES,"708,197",STATE,00000000,COLORADO,08
24,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,COLORADO,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,08,"CORN, GRAIN - ACRES HARVESTED",1997,CO,,CROPS,ALL PRODUCTION PRACTICES,"932,018",STATE,00000000,COLORADO,08
25,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,27.2,NOT SPECIFIED,,,,00,FIELD CROPS,,CONNECTICUT,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,09,"CORN, GRAIN - ACRES HARVESTED",2017,CT,,CROPS,ALL PRODUCTION PRACTICES,"5,953",STATE,00000000,CONNECTICUT,09
26,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,14.3,NOT SPECIFIED,,,,00,FIELD CROPS,,CONNECTICUT,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,09,"CORN, GRAIN - ACRES HARVESTED",2012,CT,,CROPS,ALL PRODUCTION PRACTICES,"6,548",STATE,00000000,CONNECTICUT,09
27,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,CONNECTICUT,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,09,"CORN, GRAIN - ACRES HARVESTED",2007,CT,,CROPS,ALL PRODUCTION PRACTICES,"3,563",STATE,00000000,CONNECTICUT,09
28,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,CONNECTICUT,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,09,"CORN, GRAIN - ACRES HARVESTED",2002,CT,,CROPS,ALL PRODUCTION PRACTICES,"3,010",STATE,00000000,CONNECTICUT,09
29,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,CONNECTICUT,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,09,"CORN, GRAIN - ACRES HARVESTED",1997,CT,,CROPS,ALL PRODUCTION PRACTICES,"5,588",STATE,00000000,CONNECTICUT,09
30,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,6.1,NOT SPECIFIED,,,,00,FIELD CROPS,,DELAWARE,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,10,"CORN, GRAIN - ACRES HARVESTED",2017,DE,,CROPS,ALL PRODUCTION PRACTICES,"187,963",STATE,00000000,DELAWARE,10
31,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,8.5,NOT SPECIFIED,,,,00,FIELD CROPS,,DELAWARE,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,10,"CORN, GRAIN - ACRES HARVESTED",2012,DE,,CROPS,ALL PRODUCTION PRACTICES,"178,032",STATE,00000000,DELAWARE,10
32,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,DELAWARE,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,10,"CORN, GRAIN - ACRES HARVESTED",2007,DE,,CROPS,ALL PRODUCTION PRACTICES,"185,407",STATE,00000000,DELAWARE,10
33,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,DELAWARE,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,10,"CORN, GRAIN - ACRES HARVESTED",2002,DE,,CROPS,ALL PRODUCTION PRACTICES,"161,421",STATE,00000000,DELAWARE,10
34,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,DELAWARE,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,10,"CORN, GRAIN - ACRES HARVESTED",1997,DE,,CROPS,ALL PRODUCTION PRACTICES,"157,128",STATE,00000000,DELAWARE,10
35,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,17.4,NOT SPECIFIED,,,,00,FIELD CROPS,,FLORIDA,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,12,"CORN, GRAIN - ACRES HARVESTED",2017,FL,,CROPS,ALL PRODUCTION PRACTICES,"36,385",STATE,00000000,FLORIDA,12
36,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,8.4,NOT SPECIFIED,,,,00,FIELD CROPS,,FLORIDA,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,12,"CORN, GRAIN - ACRES HARVESTED",2012,FL,,CROPS,ALL PRODUCTION PRACTICES,"39,330",STATE,00000000,FLORIDA,12
37,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,FLORIDA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,12,"CORN, GRAIN - ACRES HARVESTED",2007,FL,,CROPS,ALL PRODUCTION PRACTICES,"33,915",STATE,00000000,FLORIDA,12
38,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,FLORIDA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,12,"CORN, GRAIN - ACRES HARVESTED",2002,FL,,CROPS,ALL PRODUCTION PRACTICES,"26,790",STATE,00000000,FLORIDA,12
39,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,FLORIDA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,12,"CORN, GRAIN - ACRES HARVESTED",1997,FL,,CROPS,ALL PRODUCTION PRACTICES,"67,439",STATE,00000000,FLORIDA,12
40,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,8.3,NOT SPECIFIED,,,,00,FIELD CROPS,,GEORGIA,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,13,"CORN, GRAIN - ACRES HARVESTED",2017,GA,,CROPS,ALL PRODUCTION PRACTICES,"259,315",STATE,00000000,GEORGIA,13
41,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,1.5,NOT SPECIFIED,,,,00,FIELD CROPS,,GEORGIA,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,13,"CORN, GRAIN - ACRES HARVESTED",2012,GA,,CROPS,ALL PRODUCTION PRACTICES,"311,125",STATE,00000000,GEORGIA,13
42,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,GEORGIA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,13,"CORN, GRAIN - ACRES HARVESTED",2007,GA,,CROPS,ALL PRODUCTION PRACTICES,"449,007",STATE,00000000,GEORGIA,13
43,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,GEORGIA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,13,"CORN, GRAIN - ACRES HARVESTED",2002,GA,,CROPS,ALL PRODUCTION PRACTICES,"252,176",STATE,00000000,GEORGIA,13
44,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,GEORGIA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,13,"CORN, GRAIN - ACRES HARVESTED",1997,GA,,CROPS,ALL PRODUCTION PRACTICES,"411,608",STATE,00000000,GEORGIA,13
45,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,42.1,NOT SPECIFIED,,,,00,FIELD CROPS,,HAWAII,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,15,"CORN, GRAIN - ACRES HARVESTED",2017,HI,,CROPS,ALL PRODUCTION PRACTICES,"4,899",STATE,00000000,HAWAII,15
46,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,8.3,NOT SPECIFIED,,,,00,FIELD CROPS,,HAWAII,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,15,"CORN, GRAIN - ACRES HARVESTED",2012,HI,,CROPS,ALL PRODUCTION PRACTICES,"5,198",STATE,00000000,HAWAII,15
47,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,HAWAII,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,15,"CORN, GRAIN - ACRES HARVESTED",2007,HI,,CROPS,ALL PRODUCTION PRACTICES,"3,115",STATE,00000000,HAWAII,15
48,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,HAWAII,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,15,"CORN, GRAIN - ACRES HARVESTED",2002,HI,,CROPS,ALL PRODUCTION PRACTICES,"4,383",STATE,00000000,HAWAII,15
49,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,7.3,NOT SPECIFIED,,,,00,FIELD CROPS,,IDAHO,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,16,"CORN, GRAIN - ACRES HARVESTED",2017,ID,,CROPS,ALL PRODUCTION PRACTICES,"143,263",STATE,00000000,IDAHO,16
50,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,8.3,NOT SPECIFIED,,,,00,FIELD CROPS,,IDAHO,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,16,"CORN, GRAIN - ACRES HARVESTED",2012,ID,,CROPS,ALL PRODUCTION PRACTICES,"135,010",STATE,00000000,IDAHO,16
51,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,IDAHO,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,16,"CORN, GRAIN - ACRES HARVESTED",2007,ID,,CROPS,ALL PRODUCTION PRACTICES,"104,570",STATE,00000000,IDAHO,16
52,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,IDAHO,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,16,"CORN, GRAIN - ACRES HARVESTED",2002,ID,,CROPS,ALL PRODUCTION PRACTICES,"42,209",STATE,00000000,IDAHO,16
53,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,IDAHO,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,16,"CORN, GRAIN - ACRES HARVESTED",1997,ID,,CROPS,ALL PRODUCTION PRACTICES,"41,369",STATE,00000000,IDAHO,16
54,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,2.9,NOT SPECIFIED,,,,00,FIELD CROPS,,ILLINOIS,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,17,"CORN, GRAIN - ACRES HARVESTED",2017,IL,,CROPS,ALL PRODUCTION PRACTICES,"11,080,510",STATE,00000000,ILLINOIS,17
55,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,1.5,NOT SPECIFIED,,,,00,FIELD CROPS,,ILLINOIS,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,17,"CORN, GRAIN - ACRES HARVESTED",2012,IL,,CROPS,ALL PRODUCTION PRACTICES,"12,263,259",STATE,00000000,ILLINOIS,17
56,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ILLINOIS,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,17,"CORN, GRAIN - ACRES HARVESTED",2007,IL,,CROPS,ALL PRODUCTION PRACTICES,"13,096,231",STATE,00000000,ILLINOIS,17
57,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ILLINOIS,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,17,"CORN, GRAIN - ACRES HARVESTED",2002,IL,,CROPS,ALL PRODUCTION PRACTICES,"10,742,787",STATE,00000000,ILLINOIS,17
58,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ILLINOIS,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,17,"CORN, GRAIN - ACRES HARVESTED",1997,IL,,CROPS,ALL PRODUCTION PRACTICES,"10,780,900",STATE,00000000,ILLINOIS,17
59,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,2.3,NOT SPECIFIED,,,,00,FIELD CROPS,,INDIANA,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,18,"CORN, GRAIN - ACRES HARVESTED",2017,IN,,CROPS,ALL PRODUCTION PRACTICES,"5,402,922",STATE,00000000,INDIANA,18
60,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,1.0,NOT SPECIFIED,,,,00,FIELD CROPS,,INDIANA,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,18,"CORN, GRAIN - ACRES HARVESTED",2012,IN,,CROPS,ALL PRODUCTION PRACTICES,"6,036,712",STATE,00000000,INDIANA,18
61,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,INDIANA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,18,"CORN, GRAIN - ACRES HARVESTED",2007,IN,,CROPS,ALL PRODUCTION PRACTICES,"6,362,576",STATE,00000000,INDIANA,18
62,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,INDIANA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,18,"CORN, GRAIN - ACRES HARVESTED",2002,IN,,CROPS,ALL PRODUCTION PRACTICES,"5,123,291",STATE,00000000,INDIANA,18
63,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,INDIANA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,18,"CORN, GRAIN - ACRES HARVESTED",1997,IN,,CROPS,ALL PRODUCTION PRACTICES,"5,508,168",STATE,00000000,INDIANA,18
64,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,1.7,NOT SPECIFIED,,,,00,FIELD CROPS,,IOWA,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,19,"CORN, GRAIN - ACRES HARVESTED",2017,IA,,CROPS,ALL PRODUCTION PRACTICES,"12,969,645",STATE,00000000,IOWA,19
65,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,1.2,NOT SPECIFIED,,,,00,FIELD CROPS,,IOWA,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,19,"CORN, GRAIN - ACRES HARVESTED",2012,IA,,CROPS,ALL PRODUCTION PRACTICES,"13,709,408",STATE,00000000,IOWA,19
66,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,IOWA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,19,"CORN, GRAIN - ACRES HARVESTED",2007,IA,,CROPS,ALL PRODUCTION PRACTICES,"13,842,282",STATE,00000000,IOWA,19
