,auth_id,auth_title,ref_id,ref_title
32,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2349,Information-geometric decomposition in spike analysis
33,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2347,Linear dynamical neural population models through nonlinear embedding
34,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2345,A recurrent latent variable model for sequential data
35,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,1085,Black box variational inference for state space models
36,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2337,The allen brain atlas: 5 years and beyond
37,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,1287,Dimensionality reduction for large-scale neural recordings
38,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,946,Neural data science: accelerating the experiment-analysis-theory cycle in large-scale neuroscience
39,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data
40,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",11719,The functions of the medial premotor cortex. i. simple learned movements
41,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",11717,Comparison of movement-related activity in two cortical motor areas of primates
42,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3171,The role of human primary motor cortex in the production of skilled finger sequences
43,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3169,Neural organization of hierarchical motor sequence representations in the human neocortex
44,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3167,Why are sequence representations in primary motor cortex so elusive?
45,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3166,Generalization of backpropagation with application to a recurrent gas market model
46,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2785,Flexible timing by temporal scaling of cortical responses
47,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3163,The dynamical hypothesis in cognitive science
48,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3161,The functions of the medial premotor cortex
49,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3156,Role for supplementary motor area cells in planning several movements ahead
50,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3154,Comparison of neuronal activity in the supplementary motor area and primary motor cortex
51,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3153,Comparison of movement-related activity in two cortical motor areas of primates.
52,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3151,Sequential organization of multiple movements: involvement of cortical motor areas
53,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2815,A neural network that finds a naturalistic solution for the production of muscle activity
54,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3150,Opening the black box: low-dimensional dynamics in high-dimensional recurrent neural networks
55,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2814,Generating coherent patterns of activity from chaotic neural networks
56,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3148,Neural population dynamics in motor cortex are different for reach and grasp
57,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3144,High-dimensional geometry of population responses in visual cortex
58,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3143,Short-term memory in olfactory network dynamics
59,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3140,Order-dependent modulation of directional signals in the supplementary and presupplementary motor areas
60,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3138,Neuronal activity in the supplementary and presupplementary motor areas for temporal organization of multiple movements
61,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3137,Both supplementary and presupplementary motor areas are crucial for the temporal organization of multiple movements
62,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3135,Cortical control of arm movements: a dynamical systems perspective
63,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3134,"Motor planning, not execution, separates motor memories"
64,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",995,Tensor analysis reveals distinct population structure that parallels the different computational roles of areas m1 and v1
65,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3131,Inconvenient truths about neural processing in primary motor cortex
66,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3129,Dynamic pattern generation in behavioral and neural systems
67,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3126,"Author response: object vision to hand action in macaque parietal, premotor, and motor cortices"
68,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",258,Towards the neural population doctrine
69,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2748,Abstract context representations in primate amygdala and prefrontal cortex
70,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",958,Motor cortex embeds muscle-like commands in an untangled population response
71,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3124,Role of primate basal ganglia and frontal cortex in the internal generation of movements
72,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3123,Supplementary motor area and other cortical areas in organization of voluntary movements in man
73,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3117,"Learning and production of movement sequences: behavioral, neurophysiological, and modeling perspectives"
74,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3112,Flexible sensorimotor computations through rapid reconfiguration of cortical dynamics
75,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3111,A dynamical systems perspective on flexible motor timing
76,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",530,A category-free neural population supports evolving demands during decision-making
77,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3107,The supplementary motor area of the cerebral cortex
78,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3104,Latent factors and dynamics in motor cortex and their application to brain–machine interfaces
79,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3101,Signals in inferotemporal and perirhinal cortex suggest an untangling of visual target information
80,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3097,Neuronal activity in medial frontal cortex during learning of sequential procedures
81,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3093,Functional role of the supplementary and pre-supplementary motor areas
82,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3089,"Neuronal activity in the primate premotor, supplementary, and precentral motor cortex during visually guided and internally determined sequential movements"
83,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3085,Prediction of muscle activity by populations of sequentially recorded primary motor cortex neurons
84,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3083,Neural population dynamics during reaching are better explained by a dynamical system than representational tuning
85,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3079,Introduction to the neurobiology of interval timing
86,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",477,Context-dependent computation by recurrent dynamics in prefrontal cortex
87,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3077,Universality and individuality in neural dynamics across large populations of recurrent networks. arxiv
88,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",944,Different population dynamics in the supplementary motor area and motor cortex during reaching
89,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2971,Neural dynamics of reaching following incorrect or absent motor preparation
90,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2973,Representing time of day in circadian clocks
91,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2979,Utilisation behaviour consequent to bilateral sma softening
92,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2984,Contrasting properties of motor output from the supplementary motor area and primary motor cortex in rhesus macaques
93,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2987,Supplementary motor area of the monkey's cerebral cortex: short- and long-term deficits after unilateral ablation and the effects of subsequent callosal section
94,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2992,Author response: entrainment and maintenance of an internal metronome in supplementary motor area
95,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",1473,Neural population dynamics during reaching
96,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2996,Full-force: a target-based method for training recurrent networks
97,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2998,Untangling invariant object recognition
98,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",2745,How does the brain solve visual object recognition?
99,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3000,"Representational models: a common framework for understanding encoding, pattern-component, and representational-similarity analysis"
100,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3001,Computation through cortical dynamics
101,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3003,The initiation of voluntary movements by the supplementary motor area
102,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",996,Reorganization between preparatory and movement population responses in motor cortex
103,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3006,Are movement parameters recognizably coded in the activity of single neurons?
104,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3017,A freely-moving monkey treadmill model
105,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3022,Neural manifolds for the control of movement
106,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3025,Cortical population activity within a preserved neural manifold underlies multiple motor behaviors
107,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3030,The amplitude in periodic neural state trajectories underlies the tempo of rhythmic tapping
108,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3035,"A common structure underlies low-frequency cortical dynamics in movement, sleep, and sedation"
109,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3038,Sequential movement representations based on correlated neuronal activity
110,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3041,Perceptual straightening of natural videos
111,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",622,Cortical activity in the null space: permitting preparation without movement
112,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3043,Multistability and metastability: understanding dynamic coordination in the brain
113,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3045,Human premotor areas parse sequences into their spatial and temporal features
114,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3060,Role of the supplementary motor area in motor deficit following medial frontal lobe surgery
115,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3067,Motor learning
116,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",3074,Clinical consequences of corticectomies involving the supplementary motor area in man
117,48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation",48,"Neural trajectories in the supplementary motor area and motor cortex exhibit distinct geometries, compatible with different classes of computation"
118,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1847,A mesoscale connectome of the mouse brain
119,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1825,Multi-scale approaches for high-speed imaging and analysis of large neural populations
120,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1823,Wide-field optical mapping of neural activity in awake mice and the importance of hemodynamic correction
121,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1821,Thy1 transgenic mice expressing the red fluorescent calcium indicator jrgeco1a for neuronal population imaging in vivo
122,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1812,Global representations of goal-directed behavior in distinct cell types of mouse neocortex
123,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1800,"An fft-based technique for translation, rotation, and scale-invariant image registration"
124,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1796,High-resolution deep functional imaging of the whole mouse brain by photoacoustic computed tomographyin vivo
125,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1786,Whole-brain functional ultrasound imaging reveals brain modules for visuomotor integration
126,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1778,Simultaneous mesoscopic ca2+ imaging and fmri: neuroimaging spanning spatiotemporal scales
127,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1771,Large-scale sparse functional networks from resting state fmri
128,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1767,A multi-modal parcellation of human cerebral cortex
129,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1757,Human brain mapping: a systematic comparison of parcellation methods for the human cerebral cortex
130,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1750,Network modelling methods for fmri
131,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1743,Functional network organization of the human brain
132,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1731,Unified segmentation
133,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1727,Automatic 3d segmentation of neuro-anatomical structures from mri
134,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1723,Atlas-based segmentation of white matter tracts of the human brain using diffusion tensor tractography and comparison with classical dissection
135,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1714,Exploring the brain network: a review on resting-state fmri functional connectivity
136,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,69,Deeplabcut: markerless pose estimation of user-defined body parts with deep learning
137,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,488,Demixed principal component analysis of neural population data
138,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1711,Genome-wide atlas of gene expression in the adult mouse brain
139,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1368,The brain research through advancing innovative neurotechnologies (brain) initiative and neurology
140,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1383,Long-term optical access to an estimated one million neurons in the live mouse cortex
141,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1392,Resting-state hemodynamics are spatiotemporally coupled to synchronized and symmetric neural activity in excitatory neurons
142,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1397,Large-scale imaging of cortical dynamics during sensory perception and behavior
143,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1403,Focal cortical seizures start as standing waves and propagate respecting homotopic connectivity
144,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1414,Parallel processing of sound dynamics across mouse auditory cortex via spatially patterned thalamic inputs and distinct areal intracortical circuits
145,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1425,Mesoscale mapping of mouse cortex reveals frequency-dependent cycling between distinct macroscale functional modules
146,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1427,Single-trial neural dynamics are dominated by richly varied movements: dataset
147,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1435,Imaging cortical dynamics in gcamp transgenic rats with a head-mounted widefield macroscope
148,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1455,Excitatory neuronal hubs configure multisensory integration of slow waves in association cortex
149,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1457,Cortical state fluctuations during sensory decision making
150,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1467,Coherent encoding of subjective spatial position in visual cortex and hippocampus
151,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1476,Distributed network interactions and their emergence in developing neocortex
152,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1478,Distinct contributions of mouse cortical areas to visual discrimination
153,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1481,Voltage-sensitive dyes reveal a modular organization in monkey striate cortex
154,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1489,Functional architecture of cortex revealed by optical imaging of intrinsic signals
155,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1494,Mirrored bilateral slow-wave cortical activity within local circuits revealed by fast bihemispheric voltage-sensitive dye imaging in anesthetized and awake mice
156,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1498,Wide-field optical mapping of neural activity and brain haemodynamics: considerations and novel approaches
157,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,194,"Simultaneous denoising, deconvolution, and demixing of calcium imaging data"
158,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,278,"Penalized matrix decomposition for denoising, compression, and improved demixing of functional imaging data"
159,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1506,Hyperspectral in vivo two-photon microscopy of intrinsic contrast
160,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1519,Simultaneous mesoscopic and two-photon imaging of neuronal activity in cortical circuits
161,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,1530,Nonnegative matrix and tensor factorizations
162,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data,74,Localized semi-nonnegative matrix factorization (locanmf) of widefield calcium imaging data
163,95,General linear-time inference for gaussian processes on one dimension,5704,"Multilevel linear models, gibbs samplers and multigrid decompositions"
164,95,General linear-time inference for gaussian processes on one dimension,1082,Time-series gaussian process regression based on toeplitz computation of o (n 2) operations and o (n)-level storage
165,95,General linear-time inference for gaussian processes on one dimension,1075,Kernel interpolation for scalable structured gaussian processes (kiss-gp)
166,95,General linear-time inference for gaussian processes on one dimension,1070,Gaussian process kernels for pattern discovery and extrapolation
167,95,General linear-time inference for gaussian processes on one dimension,1069,Modelling transcriptional regulation using gaussian processes
168,95,General linear-time inference for gaussian processes on one dimension,1063,Alternative way to derive the distribution of the multivariate ornstein–uhlenbeck process
169,95,General linear-time inference for gaussian processes on one dimension,1056,Information rates of nonparametric gaussian process methods
170,95,General linear-time inference for gaussian processes on one dimension,1051,Covariance estimation in high dimensions via kronecker product expansions
171,95,General linear-time inference for gaussian processes on one dimension,1045,Image analysis using multigrid relaxation methods
172,95,General linear-time inference for gaussian processes on one dimension,1041,A generalized cyclic reduction algorithm
173,95,General linear-time inference for gaussian processes on one dimension,1039,Compact approximations to bayesian predictive distributions
174,95,General linear-time inference for gaussian processes on one dimension,1035,Estimating a state-space model from point process observations
175,95,General linear-time inference for gaussian processes on one dimension,1032,Fast parameter estimation using green's functions
176,95,General linear-time inference for gaussian processes on one dimension,1027,Laplace approximation for logistic gaussian process density estimation and regression
177,95,General linear-time inference for gaussian processes on one dimension,1024,Elements of multivariate time series analysis
178,95,General linear-time inference for gaussian processes on one dimension,1020,"Efficient, adaptive estimation of two-dimensional firing rate surfaces via gaussian process methods"
179,95,General linear-time inference for gaussian processes on one dimension,1017,Analysis of some methods for reduced rank gaussian process regression
180,95,General linear-time inference for gaussian processes on one dimension,1013,Bayesian inference for logistic models using pólya–gamma latent variables
181,95,General linear-time inference for gaussian processes on one dimension,922,Positive definite matrices
182,95,General linear-time inference for gaussian processes on one dimension,917,Preprint repository arxiv achieves milestone million uploads
183,95,General linear-time inference for gaussian processes on one dimension,913,Fast direct methods for gaussian processes
184,95,General linear-time inference for gaussian processes on one dimension,95,General linear-time inference for gaussian processes on one dimension
185,104,The continuous categorical: a novel simplex-valued exponential family,276,The continuous bernoulli: fixing a pervasive error in variational autoencoders
186,104,The continuous categorical: a novel simplex-valued exponential family,2694,Nonparametric factor analysis with beta process priors
187,104,The continuous categorical: a novel simplex-valued exponential family,2692,Reparameterization gradients through acceptance-rejection sampling algorithms
188,104,The continuous categorical: a novel simplex-valued exponential family,2689,Dirichlet component analysis
189,104,The continuous categorical: a novel simplex-valued exponential family,2683,General election 2019: full results and analysis
190,104,The continuous categorical: a novel simplex-valued exponential family,2679,Simultaneous deep transfer across domains and tasks
191,104,The continuous categorical: a novel simplex-valued exponential family,2673,A dirichlet regression model for compositional data with zeros
192,104,The continuous categorical: a novel simplex-valued exponential family,2670,Managing the essential zeros in quantitative fatty acid signature analysis
193,104,The continuous categorical: a novel simplex-valued exponential family,2667,Regression for compositional data by using distributions defined on the hypersphere
194,104,The continuous categorical: a novel simplex-valued exponential family,2663,"Neural network regression with beta, dirichlet, and dirichlet-multinomial outputs"
195,104,The continuous categorical: a novel simplex-valued exponential family,2660,Understanding sequencing data as compositions: an outlook and review
196,104,The continuous categorical: a novel simplex-valued exponential family,2654,Inference of population structure using multilocus genotype data
197,104,The continuous categorical: a novel simplex-valued exponential family,2529,The statistical analysis of compositional data
198,104,The continuous categorical: a novel simplex-valued exponential family,2531,Principles of compositional data analysis
199,104,The continuous categorical: a novel simplex-valued exponential family,2533,Logratios and natural laws in compositional data analysis
200,104,The continuous categorical: a novel simplex-valued exponential family,171,Neural information processing systems
201,104,The continuous categorical: a novel simplex-valued exponential family,2542,Learning the semantics of words and pictures
202,104,The continuous categorical: a novel simplex-valued exponential family,2544,Variational methods for the dirichlet process
203,104,The continuous categorical: a novel simplex-valued exponential family,2548,Fiscal austerity and the trade-off between public investment and social spending
204,104,The continuous categorical: a novel simplex-valued exponential family,2552,New perspectives on water chemistry and compositional data analysis
205,104,The continuous categorical: a novel simplex-valued exponential family,2554,Frequency distributions and natural laws in geochemistry
206,104,The continuous categorical: a novel simplex-valued exponential family,2557,Model compression
